bin,time_start,time_end,density_veh_per_mile,N_mainline,entered_downstream,flow_vph,density_bin,scenario
10,600.0,659.9,20.203874744124033,47.836666666666666,22,1320.0,20.0,Light
11,660.0,719.9,20.896530752354053,49.47666666666667,21,1260.0,20.0,Light
12,720.0,779.9,19.538671565488492,46.26166666666666,8,480.0,20.0,Light
13,780.0,839.9,20.17642191452955,47.77166666666667,14,840.0,20.0,Light
14,840.0,899.9,20.797982133296937,49.24333333333333,21,1260.0,20.0,Light
15,900.0,959.9,19.752662852583946,46.76833333333333,9,540.0,20.0,Light
16,960.0,1019.9,20.47417952782355,48.47666666666667,13,780.0,20.0,Light
17,1020.0,1079.9,20.870485760174674,49.415,20,1200.0,20.0,Light
18,1080.0,1139.9,19.933569960424514,47.196666666666665,11,660.0,20.0,Light
19,1140.0,1199.9,20.15108084105772,47.711666666666666,12,720.0,20.0,Light
20,1200.0,1259.9,21.258344968035182,50.333333333333336,19,1140.0,20.0,Light
21,1260.0,1319.9,20.664941497569828,48.928333333333335,11,660.0,20.0,Light
22,1320.0,1379.9,20.408715088021328,48.321666666666665,13,780.0,20.0,Light
23,1380.0,1439.9,20.78531159656102,49.21333333333333,20,1200.0,20.0,Light
24,1440.0,1499.9,19.60061641175297,46.40833333333333,7,420.0,20.0,Light
25,1500.0,1559.9,20.80290956424979,49.255,16,960.0,20.0,Light
26,1560.0,1619.9,20.954252086373224,49.61333333333334,20,1200.0,20.0,Light
27,1620.0,1679.9,20.308054712841557,48.083333333333336,9,540.0,20.0,Light
28,1680.0,1739.9,20.64734352988106,48.88666666666666,14,840.0,20.0,Light
29,1740.0,1799.9,20.93665411868445,49.571666666666665,21,1260.0,20.0,Light
30,1800.0,1859.9,19.296523530091008,45.68833333333333,9,540.0,20.0,Light
31,1860.0,1919.9,20.19261204480322,47.81,12,720.0,20.0,Light
32,1920.0,1979.9,21.256233211912527,50.32833333333333,21,1260.0,20.0,Light
33,1980.0,2039.9,20.028598985943876,47.42166666666667,5,300.0,20.0,Light
34,2040.0,2099.9,21.44981085648901,50.78666666666667,19,1140.0,20.0,Light
35,2100.0,2159.9,20.586102602324136,48.74166666666667,19,1140.0,20.0,Light
36,2160.0,2219.9,19.94905617199063,47.233333333333334,9,540.0,20.0,Light
37,2220.0,2279.9,20.298199850935845,48.06,14,840.0,20.0,Light
38,2280.0,2339.9,20.958475598618527,49.623333333333335,20,1200.0,20.0,Light
39,2340.0,2399.9,20.098990856698958,47.58833333333333,9,540.0,20.0,Light
40,2400.0,2459.9,20.51571073156905,48.575,15,900.0,20.0,Light
41,2460.0,2519.9,20.66705325369248,48.93333333333333,19,1140.0,20.0,Light
42,2520.0,2579.9,19.530224540997885,46.24166666666667,12,720.0,20.0,Light
43,2580.0,2639.9,19.654818152234384,46.53666666666667,12,720.0,20.0,Light
44,2640.0,2699.9,20.272858777464013,48.0,20,1200.0,20.0,Light
45,2700.0,2759.9,19.353540945402624,45.82333333333333,9,540.0,20.0,Light
46,2760.0,2819.9,20.14967300364262,47.708333333333336,13,780.0,20.0,Light
47,2820.0,2879.9,21.121080820062772,50.00833333333333,21,1260.0,20.0,Light
48,2880.0,2939.9,19.58372236277175,46.36833333333333,10,600.0,20.0,Light
49,2940.0,2999.9,20.232735411133618,47.905,12,720.0,20.0,Light
50,3000.0,3059.9,21.046465437062384,49.83166666666666,21,1260.0,20.0,Light
51,3060.0,3119.9,20.06872235227427,47.516666666666666,10,600.0,20.0,Light
52,3120.0,3179.9,20.079281132887537,47.541666666666664,12,720.0,20.0,Light
53,3180.0,3239.9,20.80009388941959,49.248333333333335,21,1260.0,20.0,Light
54,3240.0,3299.9,19.722394348159263,46.696666666666665,7,420.0,20.0,Light
55,3300.0,3359.9,20.63185731831494,48.85,16,960.0,20.0,Light
56,3360.0,3419.9,20.588214358446788,48.74666666666667,18,1080.0,20.0,Light
57,3420.0,3479.9,20.317909574747265,48.10666666666667,10,600.0,20.0,Light
58,3480.0,3539.9,21.043649762232178,49.825,12,720.0,20.0,Light
59,3540.0,3599.9,21.632125801744674,51.218333333333334,20,1200.0,20.0,Light
60,3600.0,3659.9,21.210478495921723,50.22,8,480.0,20.0,Light
61,3660.0,3719.9,21.733490095631996,51.458333333333336,17,1020.0,20.0,Light
